sexo,idade,renda_ind,escolaridade,regAdm,Cluster
2,31,3909.59,7,27,4
1,38,8796.57,7,27,4
1,31,0.0,7,1,4
2,30,0.0,7,1,4
2,71,3878.94,7,20,2
1,47,247.77,3,21,3
2,26,1189.3,8,21,4
1,26,1532.42,1,7,0
1,40,4459.86,7,27,4
2,40,3964.32,7,27,4
2,68,0.0,5,29,3
2,21,0.0,6,29,0
1,44,0.0,5,29,0
2,39,0.0,7,28,0
1,36,0.0,5,28,0
2,24,147.59,4,25,0
1,25,1075.14,3,25,0
2,48,0.0,3,4,3
1,32,0.0,2,4,3
2,24,0.0,5,4,0
1,21,0.0,5,4,0
2,18,0.0,4,4,0
1,45,3468.78,5,4,2
1,27,2500.0,6,8,4
2,45,0.0,5,6,2
1,26,0.0,5,6,0
1,28,2834.45,7,3,4
2,21,0.0,6,3,0
2,32,0.0,7,2,4
1,45,0.0,5,2,2
1,51,19394.72,7,18,1
2,74,1104.85,2,9,3
2,49,502.2,5,9,2
1,21,1004.4,5,9,0
2,25,0.0,7,9,0
1,74,1075.14,2,26,3
2,65,0.0,2,26,3
1,56,0.0,7,11,2
2,51,0.0,5,11,2
2,26,1954.79,6,11,0
2,20,0.0,4,30,0
1,80,0.0,1,4,3
2,71,0.0,3,4,3
2,20,0.0,6,4,0
2,48,8424.18,7,27,4
2,49,1684.84,8,5,4
1,27,0.0,6,5,4
1,22,0.0,6,8,0
1,67,0.0,7,8,2
1,25,0.0,7,8,4
2,56,9500.0,7,8,2
2,58,3909.59,3,27,3
1,61,5864.38,7,27,2
2,38,0.0,7,22,0
1,39,0.0,6,22,0
1,33,0.0,5,6,0
2,31,1090.19,5,6,0
1,53,15515.77,7,20,1
1,20,0.0,6,20,0
2,52,0.0,5,20,3
1,58,0.0,5,24,2
2,52,0.0,7,24,0
2,25,0.0,6,24,0
1,25,0.0,6,14,0
1,70,2909.21,3,14,3
1,49,1260.66,2,14,3
2,52,0.0,5,14,2
1,23,0.0,5,6,0
2,59,1100.0,2,6,3
1,63,0.0,1,6,3
2,25,3831.06,7,27,4
1,30,18197.51,7,27,1
2,55,0.0,4,19,3
1,65,8814.96,1,19,3
2,33,0.0,7,19,0
2,62,5008.5,1,19,3
2,42,0.0,7,19,0
2,35,0.0,7,19,0
2,52,6788.15,7,11,2
1,58,17455.24,7,11,1
1,38,11374.87,7,1,1
2,36,2107.08,7,31,0
1,39,0.0,6,31,0
1,48,0.0,7,20,4
2,52,7757.89,7,20,2
2,25,0.0,6,18,0
2,54,0.0,7,18,2
1,31,1954.79,5,14,0
2,24,0.0,8,14,4
2,27,1925.47,8,14,4
1,23,0.0,6,9,0
2,56,3013.21,7,9,2
1,56,4017.62,7,9,2
1,31,4519.82,7,5,4
2,26,2511.01,7,5,4
1,67,4654.73,7,12,2
2,20,0.0,5,12,0
2,49,126.07,7,12,2
1,46,2618.29,6,12,2
2,52,1502.55,5,32,0
1,78,0.0,7,1,2
1,38,0.0,5,26,0
2,68,0.0,5,26,3
2,39,0.0,5,26,0
1,73,0.0,3,26,3
1,45,0.0,5,6,2
2,59,0.0,7,24,2
2,39,0.0,7,2,4
1,47,8000.0,5,2,2
2,22,0.0,6,2,0
2,76,1100.0,2,2,3
2,46,0.0,7,1,2
1,47,0.0,7,1,2
2,25,0.0,7,5,0
1,26,2973.24,7,5,4
1,39,0.0,7,1,4
2,42,0.0,5,28,0
1,20,0.0,6,28,0
1,46,0.0,5,28,0
1,28,1417.49,5,24,0
2,22,1245.09,6,24,0
1,28,2003.4,6,13,4
2,52,0.0,5,13,2
1,23,0.0,2,13,0
1,53,0.0,2,13,3
2,21,0.0,5,13,0
1,62,7757.89,7,20,1
2,58,7757.89,7,20,2
2,51,17455.24,7,22,1
2,28,4654.73,7,22,4
1,32,0.0,7,1,4
2,33,0.0,5,1,0
2,25,1759.31,6,14,0
1,53,387.89,2,25,3
2,47,0.0,3,25,3
